OFFENSE_GROUP,DISTRICT,YEAR,MONTH,DAY,HOUR
Drug Violation,D14,2017,7,Monday,18
Drug Violation,D14,2017,7,Monday,18
Drug Violation,B3,2017,7,Monday,17
Drug Violation,B3,2017,7,Monday,17
Drug Violation,A7,2017,7,Monday,16
Drug Violation,A7,2017,7,Monday,16
Drug Violation,B3,2017,7,Monday,15
Drug Violation,B3,2017,7,Monday,15
Drug Violation,B3,2017,7,Monday,15
Drug Violation,B3,2017,7,Monday,15
Drug Violation,D4,2017,7,Sunday,20
Drug Violation,A1,2017,7,Sunday,19
Drug Violation,A1,2017,7,Sunday,18
Drug Violation,A1,2017,7,Sunday,18
Drug Violation,A1,2017,7,Sunday,18
Drug Violation,B2,2017,7,Sunday,17
Drug Violation,E5,2017,7,Sunday,4
Drug Violation,A1,2017,7,Sunday,2
Drug Violation,A1,2017,7,Sunday,2
Drug Violation,A1,2017,7,Saturday,22
Drug Violation,D4,2017,7,Saturday,21
Drug Violation,D4,2017,7,Saturday,21
Drug Violation,B2,2017,7,Saturday,21
Drug Violation,D4,2017,7,Saturday,12
Drug Violation,E13,2017,7,Saturday,12
Drug Violation,D14,2017,7,Saturday,8
Drug Violation,D14,2017,7,Saturday,8
Drug Violation,A1,2017,7,Saturday,7
Drug Violation,A1,2017,7,Friday,19
Drug Violation,A1,2017,7,Friday,19
Drug Violation,A1,2017,7,Friday,19
Drug Violation,D4,2017,7,Friday,18
Drug Violation,B2,2017,7,Friday,17
Drug Violation,E13,2017,7,Friday,0
Drug Violation,D4,2017,7,Friday,17
Drug Violation,D4,2017,7,Friday,17
Drug Violation,D4,2017,7,Friday,16
Drug Violation,D4,2017,7,Friday,16
Drug Violation,D4,2017,7,Friday,16
Drug Violation,D4,2017,7,Friday,14
Drug Violation,D4,2017,7,Friday,11
Drug Violation,A7,2017,7,Friday,8
Drug Violation,A7,2017,7,Friday,8
Drug Violation,A1,2017,7,Friday,2
Drug Violation,C6,2017,7,Friday,2
Drug Violation,C6,2017,7,Friday,2
Drug Violation,B3,2017,7,Thursday,20
Drug Violation,A7,2017,7,Thursday,16
Drug Violation,D14,2017,7,Thursday,19
Drug Violation,E5,2017,7,Thursday,19
Drug Violation,A1,2017,7,Thursday,18
Drug Violation,A1,2017,7,Thursday,18
Drug Violation,E18,2017,7,Thursday,12
Drug Violation,A1,2017,7,Thursday,11
Drug Violation,E13,2017,7,Thursday,0
Drug Violation,B2,2017,7,Wednesday,17
Drug Violation,B2,2017,7,Wednesday,17
Drug Violation,C6,2017,7,Wednesday,20
Drug Violation,B3,2017,7,Wednesday,19
Drug Violation,A1,2017,7,Wednesday,18
Drug Violation,A7,2017,7,Wednesday,18
Drug Violation,D14,2017,7,Wednesday,17
Drug Violation,D14,2017,7,Wednesday,18
Drug Violation,E13,2017,7,Wednesday,22
Drug Violation,C11,2017,7,Wednesday,17
Drug Violation,C11,2017,7,Wednesday,17
Drug Violation,B2,2017,7,Wednesday,11
Drug Violation,B2,2017,7,Wednesday,11
Drug Violation,B2,2017,7,Wednesday,2
Drug Violation,A1,2017,7,Tuesday,19
Drug Violation,A1,2017,7,Tuesday,19
Drug Violation,A1,2017,7,Tuesday,19
Drug Violation,D14,2017,7,Tuesday,18
Drug Violation,D14,2017,7,Tuesday,18
Drug Violation,E13,2017,7,Tuesday,17
Drug Violation,E13,2017,7,Tuesday,17
Drug Violation,B3,2017,7,Tuesday,16
Drug Violation,B3,2017,7,Tuesday,18
Drug Violation,B2,2017,7,Tuesday,1
Drug Violation,D4,2017,7,Tuesday,9
Drug Violation,C6,2017,7,Tuesday,12
Drug Violation,C6,2017,7,Tuesday,12
Drug Violation,B3,2017,7,Tuesday,8
Drug Violation,B3,2017,7,Tuesday,8
Drug Violation,E13,2017,7,Tuesday,7
Drug Violation,D4,2017,7,Tuesday,3
Drug Violation,D4,2017,7,Tuesday,3
Drug Violation,D4,2017,12,Wednesday,2
Drug Violation,A1,2017,7,Monday,17
Drug Violation,A1,2017,7,Monday,17
Drug Violation,A1,2017,7,Monday,17
Drug Violation,B2,2017,7,Monday,17
Drug Violation,D14,2017,7,Monday,16
Drug Violation,D14,2017,7,Monday,16
Drug Violation,D14,2017,7,Monday,16
Drug Violation,D14,2017,7,Monday,16
Drug Violation,A7,2017,7,Monday,15
Drug Violation,E18,2017,7,Monday,15
Drug Violation,E18,2017,7,Monday,15
Drug Violation,E18,2017,7,Monday,15
Drug Violation,B2,2017,7,Monday,14
Drug Violation,D4,2017,7,Monday,12
Drug Violation,D4,2017,7,Sunday,16
Drug Violation,A1,2017,7,Sunday,18
Drug Violation,A1,2017,7,Sunday,18
Drug Violation,A1,2017,7,Sunday,18
Drug Violation,A1,2017,7,Sunday,16
Drug Violation,C11,2017,7,Sunday,12
Drug Violation,A7,2017,7,Sunday,2
Drug Violation,A1,2017,7,Saturday,22
Drug Violation,B2,2017,7,Saturday,21
Drug Violation,E18,2017,7,Saturday,20
Drug Violation,A1,2017,7,Saturday,19
Drug Violation,E13,2017,7,Saturday,18
Drug Violation,B3,2017,7,Saturday,14
Drug Violation,A1,2017,7,Saturday,12
Drug Violation,E13,2017,7,Saturday,9
Drug Violation,D4,2017,7,Saturday,6
Drug Violation,D4,2017,7,Saturday,6
Drug Violation,D4,2017,7,Saturday,6
Drug Violation,A1,2017,6,Friday,22
Drug Violation,E13,2017,6,Friday,21
Drug Violation,A7,2017,6,Friday,19
Drug Violation,E5,2017,6,Friday,18
Drug Violation,E5,2017,6,Friday,18
Drug Violation,D4,2017,6,Friday,17
Drug Violation,D4,2017,6,Friday,17
Drug Violation,D4,2017,6,Friday,16
Drug Violation,D4,2017,6,Friday,16
Drug Violation,C6,2017,6,Friday,17
Drug Violation,C6,2017,6,Friday,17
Drug Violation,B3,2017,6,Friday,16
Drug Violation,B3,2017,6,Friday,16
Drug Violation,D4,2017,6,Thursday,19
Drug Violation,D4,2017,6,Thursday,19
Drug Violation,D4,2017,6,Thursday,19
Drug Violation,D4,2017,6,Thursday,19
Drug Violation,A7,2017,6,Thursday,20
Drug Violation,C6,2017,6,Thursday,17
Drug Violation,A1,2017,6,Thursday,17
Drug Violation,B3,2017,6,Thursday,17
Drug Violation,B2,2017,6,Thursday,15
Drug Violation,B2,2017,6,Thursday,13
Drug Violation,B2,2017,6,Thursday,13
Drug Violation,B3,2017,6,Thursday,14
Drug Violation,D4,2017,6,Thursday,12
Drug Violation,D4,2017,6,Thursday,12
Drug Violation,D4,2017,6,Thursday,12
Drug Violation,D4,2017,6,Thursday,12
Drug Violation,D4,2017,6,Thursday,11
Drug Violation,A1,2017,6,Thursday,0
Drug Violation,D14,2017,6,Wednesday,22
Drug Violation,D14,2017,6,Wednesday,22
Drug Violation,E13,2017,6,Wednesday,19
Drug Violation,E13,2017,6,Wednesday,19
Drug Violation,B3,2017,6,Wednesday,19
Drug Violation,B3,2017,6,Wednesday,19
Drug Violation,A1,2017,11,Monday,13
Drug Violation,A1,2017,11,Monday,13
Drug Violation,E18,2017,6,Wednesday,16
Drug Violation,E18,2017,6,Wednesday,16
Drug Violation,E18,2017,6,Wednesday,13
Drug Violation,B2,2017,6,Wednesday,14
Drug Violation,D4,2017,6,Wednesday,11
Drug Violation,D4,2017,6,Wednesday,11
Drug Violation,B2,2017,6,Wednesday,21
Drug Violation,A1,2017,6,Tuesday,18
Drug Violation,A1,2017,6,Tuesday,18
Drug Violation,A1,2017,6,Tuesday,18
Drug Violation,A1,2017,6,Tuesday,18
Drug Violation,E18,2017,6,Tuesday,18
Drug Violation,E13,2017,6,Tuesday,17
Drug Violation,E13,2017,6,Tuesday,17
Drug Violation,A7,2017,6,Tuesday,17
Drug Violation,A7,2017,6,Tuesday,17
Drug Violation,E18,2017,6,Tuesday,16
Drug Violation,D14,2017,6,Tuesday,16
Drug Violation,D4,2017,6,Tuesday,12
Drug Violation,D4,2017,6,Tuesday,12
Drug Violation,D4,2017,6,Tuesday,12
Drug Violation,E13,2017,6,Tuesday,13
Drug Violation,C11,2017,6,Monday,22
Drug Violation,E13,2017,6,Monday,19
Drug Violation,E13,2017,6,Monday,19
Drug Violation,C6,2017,6,Monday,18
Drug Violation,C6,2017,6,Monday,18
Drug Violation,C11,2017,6,Monday,19
Drug Violation,B2,2017,6,Monday,18
Drug Violation,D4,2017,6,Monday,17
Drug Violation,D4,2017,6,Monday,17
Drug Violation,E18,2017,6,Monday,17
Drug Violation,E18,2017,6,Monday,17
Drug Violation,E18,2017,6,Monday,17
Drug Violation,E18,2017,6,Monday,17
Drug Violation,B3,2017,6,Monday,16
Drug Violation,A7,2017,6,Monday,14
Drug Violation,A7,2017,6,Monday,14
Drug Violation,A7,2017,6,Monday,14
Drug Violation,A7,2017,6,Monday,14
Drug Violation,A7,2017,6,Monday,14
Drug Violation,D4,2017,6,Monday,9
Drug Violation,C11,2017,6,Monday,11
Drug Violation,A1,2017,6,Sunday,18
Drug Violation,A1,2017,6,Sunday,18
Drug Violation,C6,2017,6,Sunday,17
Drug Violation,A1,2017,6,Sunday,14
Drug Violation,B2,2017,6,Sunday,13
Drug Violation,D14,2017,6,Sunday,4
Drug Violation,C11,2017,6,Saturday,21
Drug Violation,A7,2017,6,Saturday,16
Drug Violation,A7,2017,6,Saturday,15
Drug Violation,B3,2017,6,Saturday,15
Drug Violation,B3,2017,6,Saturday,15
Drug Violation,B2,2017,6,Saturday,14
Drug Violation,C6,2017,6,Saturday,10
Drug Violation,B3,2017,6,Saturday,1
Drug Violation,C11,2017,6,Friday,21
Drug Violation,A7,2017,6,Friday,18
Drug Violation,E13,2017,6,Friday,17
Drug Violation,C6,2017,6,Friday,16
Drug Violation,C6,2017,6,Friday,16
Drug Violation,B2,2017,6,Friday,14
Drug Violation,D4,2017,6,Friday,11
Drug Violation,B2,2017,6,Friday,13
Drug Violation,C6,2017,6,Friday,10
Drug Violation,C6,2017,6,Friday,10
Drug Violation,A15,2017,6,Friday,10
Drug Violation,D14,2017,6,Friday,8
Drug Violation,B2,2017,6,Friday,3
Drug Violation,B2,2017,6,Friday,3
Drug Violation,A7,2017,6,Thursday,21
Drug Violation,A7,2017,6,Thursday,21
Drug Violation,A7,2017,6,Thursday,21
Drug Violation,A7,2017,6,Thursday,21
Drug Violation,A7,2017,6,Thursday,18
Drug Violation,E18,2017,6,Thursday,18
Drug Violation,E18,2017,6,Thursday,18
Drug Violation,E18,2017,6,Thursday,18
Drug Violation,C6,2017,6,Thursday,16
Drug Violation,A1,2017,6,Thursday,16
Drug Violation,D4,2017,6,Thursday,15
Drug Violation,B2,2017,6,Thursday,14
Drug Violation,B3,2017,6,Thursday,13
Drug Violation,B3,2017,6,Thursday,13
Drug Violation,E13,2017,6,Thursday,7
Drug Violation,E13,2017,6,Thursday,7
Drug Violation,E13,2017,6,Thursday,7
Drug Violation,A1,2017,6,Thursday,8
Drug Violation,A1,2017,6,Thursday,1
Drug Violation,B2,2017,6,Wednesday,20
Drug Violation,D4,2017,6,Wednesday,20
Drug Violation,B2,2017,6,Wednesday,18
Drug Violation,B2,2017,6,Wednesday,20
Drug Violation,B2,2017,6,Wednesday,20
Drug Violation,A1,2017,11,Thursday,10
Drug Violation,A1,2017,11,Thursday,10
Drug Violation,A1,2017,11,Thursday,10
Drug Violation,A1,2017,11,Thursday,10
Drug Violation,A1,2017,11,Thursday,10
Drug Violation,E13,2017,6,Wednesday,19
Drug Violation,B2,2017,6,Wednesday,17
Drug Violation,A7,2017,6,Wednesday,17
Drug Violation,E5,2017,6,Wednesday,17
Drug Violation,D14,2017,6,Wednesday,16
Drug Violation,A15,2017,6,Wednesday,14
Drug Violation,C11,2017,6,Wednesday,12
Drug Violation,C6,2017,6,Wednesday,11
Drug Violation,B2,2017,6,Wednesday,6
Drug Violation,E13,2017,6,Tuesday,19
Drug Violation,A1,2017,6,Tuesday,18
Drug Violation,A1,2017,6,Tuesday,18
Drug Violation,A7,2017,6,Tuesday,17
Drug Violation,A7,2017,6,Tuesday,17
Drug Violation,E18,2017,6,Tuesday,17
Drug Violation,E13,2017,6,Tuesday,16
Drug Violation,C11,2017,6,Tuesday,15
Drug Violation,D4,2017,6,Tuesday,15
Drug Violation,D4,2017,6,Tuesday,15
Drug Violation,D4,2017,6,Tuesday,15
Drug Violation,A1,2017,6,Tuesday,12
Drug Violation,E13,2017,6,Sunday,12
Drug Violation,C6,2017,6,Tuesday,9
Drug Violation,D14,2017,6,Monday,20
Drug Violation,A1,2017,6,Monday,20
Drug Violation,A1,2017,6,Monday,20
Drug Violation,D4,2017,6,Monday,19
Drug Violation,D4,2017,6,Monday,19
Drug Violation,B3,2017,6,Monday,18
Drug Violation,B3,2017,6,Monday,18
Drug Violation,C11,2017,6,Monday,18
Drug Violation,E5,2017,6,Monday,16
Drug Violation,E5,2017,6,Monday,16
Drug Violation,E5,2017,6,Monday,14
Drug Violation,A15,2017,6,Sunday,21
Drug Violation,D4,2017,6,Sunday,17
Drug Violation,C6,2017,6,Saturday,20
Drug Violation,C11,2017,6,Saturday,19
Drug Violation,B3,2017,6,Saturday,20
Drug Violation,D4,2017,6,Saturday,18
Drug Violation,D4,2017,6,Saturday,18
Drug Violation,D4,2017,6,Saturday,18
Drug Violation,D4,2017,6,Saturday,18
Drug Violation,D4,2017,6,Saturday,18
Drug Violation,D4,2017,6,Saturday,18
Drug Violation,B2,2017,6,Friday,16
Drug Violation,D4,2017,6,Friday,17
Drug Violation,A15,2017,6,Friday,17
Drug Violation,B2,2017,6,Friday,16
Drug Violation,D4,2017,6,Friday,11
Drug Violation,B3,2017,6,Friday,10
Drug Violation,A1,2017,6,Friday,10
Drug Violation,A1,2017,6,Friday,10
Drug Violation,A1,2017,6,Friday,10
Drug Violation,A1,2017,6,Friday,10
Drug Violation,A15,2017,6,Friday,16
Drug Violation,D4,2017,6,Thursday,18
Drug Violation,D14,2017,6,Thursday,18
Drug Violation,D14,2017,6,Thursday,17
Drug Violation,D14,2017,6,Thursday,16
Drug Violation,D4,2017,6,Thursday,16
Drug Violation,A1,2017,6,Thursday,16
Drug Violation,A1,2017,6,Thursday,16
Drug Violation,D4,2017,6,Thursday,13
Drug Violation,D4,2017,6,Thursday,13
Drug Violation,D4,2017,6,Thursday,12
Drug Violation,D4,2017,6,Thursday,12
Drug Violation,A15,2017,6,Thursday,11
Drug Violation,A15,2017,6,Thursday,11
Drug Violation,D4,2017,6,Thursday,8
Drug Violation,D4,2017,6,Thursday,8
Drug Violation,D4,2017,6,Thursday,8
Drug Violation,E13,2017,6,Thursday,10
Drug Violation,C11,2017,6,Thursday,6
Drug Violation,D14,2017,6,Thursday,0
Drug Violation,D4,2017,6,Wednesday,20
Drug Violation,D4,2017,6,Wednesday,20
Drug Violation,D4,2017,6,Wednesday,20
Drug Violation,B2,2017,6,Wednesday,20
Drug Violation,B2,2017,6,Wednesday,20
Drug Violation,B2,2017,6,Wednesday,20
Drug Violation,E18,2017,6,Wednesday,18
Drug Violation,E18,2017,6,Wednesday,18
Drug Violation,B3,2017,6,Wednesday,17
Drug Violation,E13,2017,6,Wednesday,15
Drug Violation,E13,2017,6,Wednesday,15
Drug Violation,E18,2017,6,Wednesday,13
Drug Violation,D4,2017,6,Wednesday,10
Drug Violation,E5,2017,6,Wednesday,12
Drug Violation,B2,2017,6,Wednesday,13
Drug Violation,D4,2017,6,Wednesday,12
Drug Violation,D4,2017,6,Tuesday,21
Drug Violation,C11,2017,6,Tuesday,20
Drug Violation,B3,2017,6,Tuesday,19
Drug Violation,B3,2017,6,Tuesday,18
Drug Violation,B3,2017,6,Tuesday,18
Drug Violation,C11,2017,6,Tuesday,13
Drug Violation,A1,2017,6,Tuesday,14
Drug Violation,A1,2017,6,Tuesday,16
Drug Violation,A1,2017,6,Tuesday,15
Drug Violation,C6,2017,6,Tuesday,15
Drug Violation,C11,2017,6,Tuesday,13
Drug Violation,C11,2017,6,Tuesday,13
Drug Violation,C11,2017,6,Tuesday,13
Drug Violation,E5,2017,6,Tuesday,13
Drug Violation,A1,2017,6,Tuesday,13
Drug Violation,D4,2017,6,Tuesday,8
Drug Violation,D4,2017,6,Tuesday,11
Drug Violation,D4,2017,6,Tuesday,11
Drug Violation,D4,2017,6,Tuesday,11
Drug Violation,C11,2017,6,Tuesday,11
Drug Violation,C11,2017,6,Tuesday,4
Drug Violation,A7,2017,6,Monday,22
Drug Violation,E13,2017,6,Monday,17
Drug Violation,C6,2017,6,Monday,19
Drug Violation,B3,2017,6,Monday,19
Drug Violation,B3,2017,6,Monday,18
Drug Violation,D4,2017,6,Monday,17
Drug Violation,D4,2017,6,Monday,17
Drug Violation,D4,2017,6,Monday,17
Drug Violation,D14,2017,6,Monday,16
Drug Violation,D14,2017,6,Monday,16
Drug Violation,D14,2017,6,Monday,16
Drug Violation,E13,2017,6,Monday,12
Drug Violation,D4,2017,6,Sunday,23
Drug Violation,C11,2017,6,Sunday,19
Drug Violation,C11,2017,6,Sunday,19
Drug Violation,C11,2017,6,Sunday,19
Drug Violation,B2,2017,6,Sunday,15
Drug Violation,E13,2017,6,Sunday,14
Drug Violation,C11,2017,6,Sunday,11
Drug Violation,A1,2017,6,Saturday,23
Drug Violation,A1,2017,6,Saturday,23
Drug Violation,E13,2017,6,Saturday,21
Drug Violation,A7,2017,6,Saturday,20
Drug Violation,A15,2017,6,Saturday,18
Drug Violation,B3,2017,6,Saturday,18
Drug Violation,A15,2017,6,Saturday,17
Drug Violation,A15,2017,6,Saturday,17
Drug Violation,A15,2017,6,Saturday,17
Drug Violation,D14,2017,6,Saturday,18
Drug Violation,C11,2017,6,Saturday,15
Drug Violation,C11,2017,6,Saturday,15
Drug Violation,C6,2017,6,Saturday,13
Drug Violation,A15,2017,6,Saturday,13
Drug Violation,A15,2017,6,Saturday,13
